invoice_id,issued_date,amount,counterparty,status
INV-2026-0074,2026-06-15,313.00,Himalaya Organics Pvt. Ltd.,PAID
INV-2026-0075,2026-06-04,2686.00,Bharat Retail Ventures Pvt. Ltd.,PAID
INV-2026-0073,2026-06-04,7350.50,ACME INDIA PVT LTD,PAID
INV-2026-0070,2026-06-06,2670.01,Fortune Home Appliances Pvt. Ltd.,PAID
INV-2026-0085,2026-05-31,28756.00,Bharat Retail Ventures Pvt Ltd,PAID
INV-2026-0052,2026-06-12,729.25,Lotus Stationery Works Ltd.,PAID
INV-2026-0004,2026-06-12,145.00,Konkan Seafoods Pvt Ltd.,PARTIAL
INV-2026-0122,2026-06-25,692.00,Lotus Stationery Works Ltd,PAID
INV-2026-0096,2026-06-14,10557.00,Konkan Seafoods Pvt. Ltd.,PAID
INV-2026-0024,2026-06-13,1905.01,Bharat Retail Ventures PVT LTD,PAID
INV-2026-0008,2026-05-30,1573.00,  Ganga Textiles and Exports Ltd ,PAID
INV-2026-0053,2026-06-13,434.99,Deccan Logistics PVT LTD,PAID
INV-2026-0078,2026-06-16,39898.00,Ganga Textiles and Exports Ltd.,PAID
INV-2026-0035,2026-05-30,25663.99,Everest Apparel Manufacturing LTD,PAID
INV-2026-0018,2026-05-27,934.00,Bharat Retail Ventures Pvt. Ltd.,PAID
INV-2026-0083,2026-06-26,6900.00,Fortune Home Appliances Pvt Ltd,PAID
INV-2026-0089,2026-06-04,505.50,EVEREST APPAREL MANUFACTURING LTD,PAID
INV-2026-0082,2026-06-05,54648.49,Himalaya Organics Pvt Ltd,PAID
INV-2026-0100,2026-05-28,5765.39,Coastal Foods and Beverages Ltd,PARTIAL
INV-2026-0109,2026-06-24,4955.00,Acme India Pvt Ltd,PARTIAL
INV-2026-0086,2026-06-23,2083.00,Coastal Foods and Beverages Ltd,PAID
INV-2026-0059,2026-06-09,6448.00,Ganga Textiles and Exports Ltd.,PAID
INV-2026-0003,2026-06-02,60411.98,Himalaya Organics Pvt Ltd.,PAID
INV-2026-0071,2026-06-03,26081.49,DECCAN LOGISTICS PRIVATE LTD,PAID
INV-2026-0098,2026-06-08,976.00,Bharat Retail Ventures Pvt Ltd,PAID
INV-2026-0093,2026-06-21,15595.49,  Deccan Logistics PVT LTD ,PAID
INV-2026-0038,2026-06-18,4291.00,  Jyoti Electricals Pvt. Ltd. ,PAID
INV-2026-0066,2026-06-02,1560.49,Acme India Pvt Ltd,PAID
INV-2026-0048,2026-06-18,22503.00,Jyoti Electricals Pvt Ltd,PAID
INV-2026-0011,2026-06-07,50984.24,Acme India Pvt Ltd,PAID
INV-2026-0000,2026-05-23,889.99,BHARAT RETAIL VENTURES PVT LTD,PAID
INV-2026-0091,2026-06-17,11178.01,Indus Valley Furnishings Ltd,PAID
INV-2026-0084,2026-06-14,700.25,Acme India Pvt Ltd,PAID
INV-2026-0037,2026-06-12,251.25,Lotus Stationery Works LTD,PAID
INV-2026-0062,2026-05-27,2259.00,Indus Valley Furnishings Ltd,PAID
INV-2026-0049,2026-06-12,11161.00,Lotus Stationery Works Ltd,PAID
INV-2026-0023,2026-06-11,14625.04,Coastal Foods and Beverages Ltd,PARTIAL
INV-2026-0090,2026-06-18,813.00,  Jyoti Electricals Pvt Ltd ,PAID
INV-2026-0014,2026-06-03,372.50,Jyoti Electricals Pvt Ltd,PAID
INV-2026-0021,2026-06-11,990.00,Bharat Retail Ventures Pvt Ltd,PARTIAL
INV-2026-0006,2026-06-04,23640.00,BHARAT RETAIL VENTURES PVT LTD,PAID
INV-2026-0069,2026-05-28,27813.00,Coastal Foods and Beverages Ltd,PAID
INV-2026-0019,2026-06-17,4684.00,Bharat Retail Ventures Pvt. Ltd.,PAID
INV-2026-0058,2026-06-06,210.01,Indus Valley Furnishings Limited,PAID
INV-2026-0106,2026-06-13,5333.00,Deccan Logistics Pvt Ltd.,PAID
INV-2026-0040,2026-06-02,499.25,ACME INDIA PVT LTD,PAID
INV-2026-0060,2026-06-02,20424.49,Indus Valley Furnishings Ltd,PARTIAL
INV-2026-0017,2026-06-02,3745.00,  Everest Apparel Manufacturing Ltd ,PAID
INV-2026-0031,2026-06-23,16806.25,Acme India Pvt Ltd,PARTIAL
INV-2026-0012,2026-06-23,788.00,Acme India Pvt Ltd,PAID
INV-2026-0123,2026-06-11,11279.00,Ganga Textiles and Exports Ltd.,PAID
INV-2026-0118,2026-06-07,47014.00,FORTUNE HOME APPLIANCES PVT LTD,PAID
INV-2026-0102,2026-05-28,492.50,Himalaya Organics Pvt Ltd,PAID
INV-2026-0095,2026-06-13,106.00,Ganga Textiles and Exports Ltd.,PAID
INV-2026-0101,2026-05-31,28510.49,Konkan Seafoods Pvt. Ltd.,PAID
INV-2026-0033,2026-05-31,27811.50,Fortune Home Appliances Pvt. Ltd.,PAID
INV-2026-0110,2026-06-10,3890.00,Konkan Seafoods Pvt Ltd,PAID
INV-2026-0013,2026-06-23,1516.25,GANGA TEXTILES AND EXPORTS LTD.,PAID
INV-2026-0107,2026-06-07,454.00,Konkan Seafoods Pvt Ltd,PAID
INV-2026-0041,2026-06-19,11168.00,Indus Valley Furnishings Ltd,PAID
INV-2026-0054,2026-06-14,436.00,Acme India Pvt Ltd,PAID
INV-2026-0072,2026-05-31,648.00,Fortune Home Appliances Pvt Ltd,PAID
INV-2026-0046,2026-06-15,4905.00,Lotus Stationery Works Ltd,PAID
INV-2026-0061,2026-05-31,3954.49,Coastal Foods and Beverages Ltd,PAID
INV-2026-0067,2026-06-14,21875.99,Everest Apparel Manufacturing Ltd,PAID
INV-2026-0104,2026-06-04,3092.25,Deccan Logistics Pvt Ltd,PAID
INV-2026-0112,2026-06-03,746.49,Everest Apparel Manufacturing Limited,PAID
INV-2026-0002,2026-06-17,36221.00,Jyoti Electricals Pvt. Ltd.,PAID
INV-2026-0080,2026-05-25,48234.00,Ganga Textiles and Exports LTD,PAID
INV-2026-0111,2026-06-10,438.00,Jyoti Electricals Pvt Ltd,PAID
INV-2026-0105,2026-05-27,431.00,HIMALAYA ORGANICS PVT LTD,PAID
INV-2026-0007,2026-05-31,2986.00,Himalaya Organics Pvt Ltd,PAID
INV-2026-0001,2026-06-26,1675.97,Ganga Textiles & Exports Ltd,PARTIAL
INV-2026-0116,2026-06-25,12242.00,Konkan Seafoods Pvt Ltd,PARTIAL
INV-2026-0108,2026-05-27,1798.00,GANGA TEXTILES AND EXPORTS LTD,PAID
INV-2026-0005,2026-06-07,25523.00,Deccan Logistics Pvt Ltd,PAID
INV-2026-0047,2026-06-26,1696.25,Bharat Retail Ventures Pvt Ltd,PAID
INV-2026-0050,2026-06-07,269.00,Indus Valley Furnishings Ltd,PAID
INV-2026-0087,2026-06-05,1667.74,Lotus Stationery Works Ltd.,PAID
INV-2026-0114,2026-06-22,13567.50,DECCAN LOGISTICS PVT LTD,PAID
INV-2026-0016,2026-06-27,4931.99,Indus Valley Furnishings Ltd.,PAID
INV-2026-0027,2026-06-24,25382.47,Acme India PVT LTD,PARTIAL
INV-2026-0034,2026-06-03,636.00,Acme India Pvt Ltd,PAID
INV-2026-0121,2026-06-10,44390.00,Himalaya Organics Pvt Ltd,PAID
INV-2026-0057,2026-06-26,384.75,Konkan Seafoods Pvt Ltd,PAID
INV-2026-0022,2026-06-05,33710.25,Bharat Retail Ventures PVT LTD,PAID
INV-2026-0056,2026-05-28,23104.00,Indus Valley Furnishings Ltd,PAID
INV-2026-0030,2026-06-09,1089.99,Jyoti Electricals PVT LTD,PAID
INV-2026-0042,2026-06-13,336.00,Coastal Foods and Beverages Ltd.,PAID
INV-2026-0097,2026-05-31,1287.00,Everest Apparel Manufacturing Ltd,OPEN
INV-2026-0120,2026-05-31,4649.50,DECCAN LOGISTICS PVT LTD,PAID
